text,label
love,0
fuck,1
bastard,1
idiot,1
kind,0
loser,1
smart,0
ugly,1
brave,0
fatso,1
angel,0
sex,1
asshole,1
you suck,1
good job,0
so dumb,1
well done,0
total failure,1
great work,0
complete idiot,1
very nice,0
you are dumb,1
you did great,0
she is stupid,1
he is kind,0
they are losers,1
we are winners,0
you are so stupid,1
that was really nice,0
he is such a loser,1
she is very talented,0
what a complete moron,1
that was quite helpful,0
you should just disappear,1
I appreciate your effort,0
nobody wants you here,1
everyone likes your work,0
you're completely worthless,1
your contribution matters,0
go kill yourself idiot,1
thanks for helping me,0
you fat ugly loser,1
you're amazing friend,0
why don't you just die,1
please keep up the good work,0
you're such a pathetic failure,1
I value your opinion,0
nobody will ever love you,1
your presence makes me happy,0
you're the worst person ever,1
you make everything better,0
I wish you were never born,1
I'm glad we're friends,0
your face makes me sick,1
you have a beautiful smile,0
you're too stupid to live,1
you're incredibly smart,0
just jump off a bridge,1
stay safe and take care,0
you're disgusting and vile,1
you're kind and thoughtful,0
everyone hates you here,1
we all support you,0
you're a waste of space,1
you're important to us,0
kill yourself nobody cares,1
we care about you,0
you're such a useless piece,1
you're doing great,0
why are you even alive,1
life is better with you,0
you're a complete embarrassment,1
you make us proud,0
nobody likes your presence,1
we enjoy your company,0
you're a burden to all,1
you're a blessing,0
your existence is pointless,1
you matter to everyone,0
you're a terrible human,1
you're a good person,0
get lost forever loser,1
stay with us always,0
you're nothing but trash,1
you're precious to us,0
I can't stand you,1
I enjoy your company,0
you're so annoying always,1
you're pleasant to be with,0
shut up and leave,1
please share your thoughts,0
you're completely incompetent,1
you're very capable,0
no one will miss you,1
we would miss you,0
you're a failure at life,1
you're successful and strong,0
just give up already,1
keep trying you'll succeed,0
you're the problem always,1
you're part of the solution,0
you ruin everything,1
you make things better,0
you're such a disappointment,1
you make us proud,0
you're not worth anything,1
you're valuable,0
you should be ashamed,1
you should be proud,0
you're a mistake,1
you're a gift,0
nobody cares about you,1
we all care,0
you're better off dead,1
the world needs you,0
you're a horrible person,1
you're a wonderful person,0
why do you even try,1
keep trying you're improving,0
you're useless at this,1
you're learning quickly,0
you'll never succeed,1
you will achieve great things,0
you're a joke,1
you're impressive,0
you're pathetic and weak,1
you're strong and capable,0
you're the worst ever,1
you're the best,0
you're so dumb it hurts,1
you're very intelligent,0
you're a complete fool,1
you're very wise,0
you're such a coward,1
you're very brave,0
you're disgusting to look at,1
you're beautiful inside out,0
you're a terrible friend,1
you're a great friend,0
you're worthless scum,1
you're a precious soul,0
you're an embarrassment to us,1
you're an honor to know,0
you're a burden on society,1
you contribute positively,0
you're a waste of oxygen,1
you make the world better,0
you're a pathetic excuse,1
you're a wonderful example,0
you're so annoying shut up,1
please continue speaking,0
you're incompetent at everything,1
you're skilled in many areas,0
you're a failure in life,1
you're successful in life,0
you're stupid and ignorant,1
you're smart and knowledgeable,0
you're ugly inside out,1
you're beautiful inside out,0
you're a terrible influence,1
you're a positive influence,0
you're corrupt and evil,1
you're honest and good,0
you're a malicious person,1
you're a kind person,0
you're a toxic individual,1
you're a healing presence,0
you're a horrible teammate,1
you're a great teammate,0
you're a bad student,1
you're an excellent student,0
you're a useless employee,1
you're a valuable employee,0
you're a terrible leader,1
you're an inspiring leader,0
you're a awful person,1
you're an amazing person,0
you're a nasty individual,1
you're a lovely individual,0
you're a despicable human,1
you're an admirable human,0
you're a wretched soul,1
you're a beautiful soul,0
you're a foul creature,1
you're a wonderful being,0
you're a vile monster,1
you're a kind angel,0
you're a horrible example,1
you're a great example,0
you're a pathetic loser,1
you're a successful winner,0
you're a complete waste,1
you're completely worthwhile,0
you're a terrible speaker,1
you're an excellent speaker,0
you're an awful writer,1
you're a talented writer,0
you're a bad artist,1
you're a creative artist,0
you're a poor musician,1
you're a gifted musician,0
you're a terrible cook,1
you're a wonderful cook,0
you're a awful driver,1
you're a safe driver,0
you're a bad parent,1
you're a loving parent,0
you're a terrible child,1
you're a wonderful child,0
you're a horrible sibling,1
you're a caring sibling,0
you're a awful partner,1
you're a supportive partner,0
you're a bad friend,1
you're a loyal friend,0
you're a terrible neighbor,1
you're a good neighbor,0
you're a awful citizen,1
you're a responsible citizen,0
you're a bad influence,1
you're a positive influence,0
you're a toxic presence,1
you're a healing presence,0
you're a negative energy,1
you're a positive energy,0
you're a drain on everyone,1
you're a support to everyone,0
you're a burden to all,1
you're a help to all,0
you're a problem always,1
you're a solution always,0
you're a mistake maker,1
you're a problem solver,0
you're a trouble creator,1
you're a peace maker,0
you're a conflict starter,1
you're a harmony builder,0
you're a drama queen,1
you're a calm presence,0
you're a attention seeker,1
you're a humble person,0
you're a selfish individual,1
you're a generous individual,0
you're a greedy person,1
you're a sharing person,0
you're a jealous type,1
you're a supportive type,0
you're a envious person,1
you're a content person,0
you're a angry individual,1
you're a peaceful individual,0
you're a violent person,1
you're a gentle person,0
you're a aggressive type,1
you're a passive type,0
you're a rude individual,1
you're a polite individual,0
you're a disrespectful person,1
you're a respectful person,0
you're a arrogant fool,1
you're a humble scholar,0
you're a proud idiot,1
you're a modest genius,0
you're a vain creature,1
you're a simple being,0
you're a shallow person,1
you're a deep thinker,0
you're a superficial individual,1
you're a profound individual,0
you're a fake friend,1
you're a genuine friend,0
you're a phony person,1
you're an authentic person,0
you're a liar always,1
you're an honest person,0
you're a cheat and fraud,1
you're a trustworthy individual,0
you're a deceiver always,1
you're a truthful person,0
you're a manipulative person,1
you're a straightforward person,0
you're a cunning fox,1
you're an open book,0
you're a sneaky snake,1
you're a transparent person,0
you're a backstabber always,1
you're a loyal ally,0
you're a traitor friend,1
you're a faithful companion,0
you're a betrayer trust,1
you're a keeper trust,0
you're a gossip spreader,1
you're a secret keeper,0
you're a rumor monger,1
you're a truth speaker,0
you're a slanderer person,1
you're a reputation builder,0
you're a character assassin,1
you're a character defender,0
you're a reputation destroyer,1
you're a reputation enhancer,0
you're a hope killer,1
you're a hope giver,0
you're a dream crusher,1
you're a dream supporter,0
you're a motivation destroyer,1
you're a motivation builder,0
you're a confidence breaker,1
you're a confidence booster,0
you're a self-esteem lower,1
you're a self-esteem raiser,0
you're a happiness thief,1
you're a joy bringer,0
you're a smile eraser,1
you're a smile creator,0
you're a laughter stopper,1
you're a laughter starter,0
you're a fun killer,1
you're a fun maker,0
you're a party pooper,1
you're a party starter,0
you're a mood spoiler,1
you're a mood lifter,0
you're a atmosphere ruiner,1
you're a atmosphere improver,0
you're a environment polluter,1
you're a environment cleaner,0
you're a space waster,1
you're a space utilizer,0
you're a time waster,1
you're a time manager,0
you're a resource drain,1
you're a resource saver,0
you're a energy vampire,1
you're a energy giver,0
you're a positivity killer,1
you're a positivity spreader,0
you're a negativity source,1
you're a positivity source,0
you're a problem maker,1
you're a solution finder,0
you're a trouble causer,1
you're a peace maker,0
you're a conflict creator,1
you're a harmony creator,0
you're a fight starter,1
you're a fight resolver,0
you're a argument lover,1
you're a discussion lover,0
you're a debate avoider,1
you're a debate participant,0
you're a conversation killer,1
you're a conversation starter,0
you're a communication blocker,1
you're a communication facilitator,0
you're a understanding lacking,1
